t,x,y,vx,vy
0.0,0.0,3.0379751482823063,0.012052145457313632,-0.008246069790796333
0.1,0.013072852406552067,-2.3025420982202593,0.292123727919054,2.009607693454254
0.2,0.05228530321091882,1.1689288225165881,0.5365634981790754,4.1341503965923705
0.30000000000000004,0.11761904549564592,3.3957077858332605,0.8519526731491911,5.860089976731164
0.4,0.20904360857521898,3.2873412177227195,0.8277111208785026,7.864434003488533
0.5,0.32651641907683304,1.1893604022156472,1.2940728861557929,10.088429287704031
0.6,0.4699828860857408,3.9663991418396067,1.5050504847136768,11.914131145760699
0.7,0.6393765099907208,6.796011561370691,1.808371781427364,14.02535538082469
0.7999999999999999,0.8346190145657075,9.244812594794592,2.2276896165112228,16.0342199974162
0.8999999999999999,1.0556205017275244,7.616345407708677,2.4496890092033015,18.020021661767387
0.9999999999999999,1.3022796283176439,15.998026250252877,2.7480606741565876,20.10130408622671
1.0999999999999999,1.5744838041685794,9.28190873689397,2.66800892779703,21.854467742761205
1.2,1.872109410633503,11.146235865193422,3.1885104072540535,23.906272766235865
1.3,2.1950220386814627,16.948409610265198,3.4999661650836082,25.72074366337352
1.4000000000000001,2.5430767455906422,20.987136064278324,3.5637142462047073,27.766861326256386
1.5000000000000002,2.916118329208834,24.127911909169214,3.9656358004260888,29.694528901139773
1.6000000000000003,3.313981618694017,25.656618281110987,3.9435185014237004,31.38198479800075
1.7000000000000004,3.736491780598895,27.9063199670733,4.4639465352952525,33.19119987094157
1.8000000000000005,4.183464639121644,28.847622754809972,4.591190988159191,35.330796436148745
1.9000000000000006,4.654707009311062,35.87043721873581,4.785768642556004,37.11891106814002
2.0000000000000004,5.150017041987791,42.03775788542115,4.991770158381324,38.82941825014459
2.1000000000000005,5.669184579124383,44.07929017303213,5.428589724672599,40.745539497976715
2.2000000000000006,6.211991518415448,49.83324608886547,5.415184220283186,42.52283406229182
2.3000000000000007,6.778212185764956,53.14088627480022,5.933658664265942,44.210838093579255
2.400000000000001,7.367613714420631,53.64723258746241,6.054826441185093,46.061487683323165
2.500000000000001,7.979956429495056,60.26507003481949,6.412163021995644,47.65811441334738
2.600000000000001,8.61499423662932,65.28065508718468,6.374810749485263,49.67521101414919
2.700000000000001,9.272475013577283,70.27435682264294,6.66658312257856,51.230792821819406
2.800000000000001,9.952141003516623,76.15469717841158,6.8173246537487735,53.0107902169653
2.9000000000000012,10.653729208926102,81.83638628204228,7.019789582335471,54.97141767773725
3.0000000000000013,11.376971784906708,87.64919300226082,7.354235857935867,56.418599466111
3.1000000000000014,12.1215964308668,93.02961925614831,7.5802642865044625,57.88739108122908
3.2000000000000015,12.887326779537856,99.33338716393774,7.888947371625852,59.59542796904401
3.3000000000000016,13.673882782337182,103.12799198288651,7.962779630585768,61.21689650170301
3.4000000000000017,14.48098109014663,110.11129846919245,8.10380937872546,62.92730870120066
3.5000000000000018,15.308335428631466,118.6858062556602,8.408388014062801,64.0936985849731
3.600000000000002,16.15565696728051,122.44290256264671,8.666951311216131,65.8528699502858
3.700000000000002,17.02265468140707,130.91762684305095,8.887128298585221,67.61840789068751
3.800000000000002,17.90903570640962,138.51623051186291,9.016491341387493,68.84041466250561
3.900000000000002,18.814505683651145,144.01730405240278,9.24310909577184,70.29074549215791
4.000000000000002,19.738769097376032,150.91054068282318,9.27177658145376,71.60086468295937
4.100000000000001,20.68152960214339,158.5663236850537,9.395218022416724,73.1128713789643
4.200000000000001,21.642490340314648,168.43196301227485,9.654028754918619,74.51494978908782
4.300000000000001,22.621354249191718,171.40953865458684,10.024789167457818,75.82784834332683
4.4,23.617824357458833,183.17172217525524,10.091554483953264,76.95083515889063
4.5,24.631604070636712,189.0365165838465,10.14475387048447,78.7761791084234
4.6,25.662397445311317,195.81290155182452,10.260352594867522,79.6032889214106
4.699999999999999,26.70990945195118,202.97142433469932,10.439375198941832,80.99398844891937
4.799999999999999,27.773846226176772,214.38868331854076,10.692919891439992,82.27401734628968
4.899999999999999,28.853915308392626,220.0685853802546,10.951637124841195,83.34125966597966
4.999999999999998,29.949825871737616,231.17152905189585,11.162340647468733,84.84356484010573
5.099999999999998,31.0612889383511,237.4966733992514,11.086292462962247,86.20426354041241
5.1999999999999975,32.18801758399215,248.9330421378238,11.474110328113595,87.05099858106253
5.299999999999997,33.32972713108609,253.0593237266901,11.598567536128957,88.37562623446418
5.399999999999997,34.48613533030691,262.74866897952336,11.66058086379323,89.26509016254226
5.4999999999999964,35.65696253083555,273.28052461065755,11.85034493011913,90.36847816953822
